store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
ZH80,3.82644,103.3049,EDC,EDC
ZH83,3.670696,102.871474,EDC,EDC
ZH84,3.465182,102.39154,EDC,EDC
ZH86,3.80669,101.874861,EDC,EDC
ZH87,4.181014,102.052765,EDC,EDC
ZH88,3.959713,102.422709,EDC,EDC
ZH89,3.75728552,102.5406461,EDC,EDC
ZH90,3.514563,101.913322,EDC,EDC
ZH92,3.11697,103.440591,EDC,EDC
ZH93,3.925725,102.382093,EDC,EDC
ZH94,4.166022,102.032671,EDC,EDC
ZH95,3.826564,103.3046938,EDC,EDC
ZH96,3.961359,103.37102,EDC,EDC
ZI01,3.781687,103.287437,EDC,EDC
ZI02,3.790789,103.33085,EDC,EDC
ZI03,3.723708,103.147495,EDC,EDC
ZI06,3.800501,103.315942,EDC,EDC
ZI07,3.779729,103.22867,EDC,EDC
ZI08,3.81175,103.329861,EDC,EDC
ZI11,3.068326,103.069395,EDC,EDC
ZI16,3.444056,102.41475,EDC,EDC
ZI17,3.519111,103.391361,EDC,EDC
ZI21,3.736357,103.266264,EDC,EDC
ZI22,3.73217,103.316639,EDC,EDC
ZI26,3.605707,103.328249,EDC,EDC
ZI27,3.25975,102.436611,EDC,EDC
ZI28,3.834833,103.299917,EDC,EDC
ZI34,3.771572,102.544539,EDC,EDC
ZI37,3.881755,103.334522,EDC,EDC
ZI38,3.804868,103.323233,EDC,EDC
ZI49,3.79,101.856361,EDC,EDC
ZI61,3.777101,103.320317,EDC,EDC
ZI64,3.834823,103.301373,EDC,EDC
ZI65,2.663762,103.619248,EDC,EDC
ZI67,3.490673,103.392979,EDC,EDC
ZI70,3.871555,103.277024,EDC,EDC
ZI76,3.054697,103.089115,EDC,EDC
ZI77,3.820804,103.325512,EDC,EDC
ZI78,3.421318,102.027938,EDC,EDC
ZI82,3.817976,103.327909,EDC,EDC
ZI90,3.818324,103.326272,EDC,EDC
ZI91,3.135171,102.362419,EDC,EDC
ZI92,3.483669,102.35063,EDC,EDC
ZJ18,3.471295,102.331748,EDC,EDC
ZJ27,3.448611,102.416167,EDC,EDC
ZJ30,3.937417,102.362,EDC,EDC
ZJ37,3.827747,103.340454,EDC,EDC
ZJ46,3.795569,103.315978,EDC,EDC
ZJ61,2.797528,103.4845,EDC,EDC
ZJ66,4.185505,102.054103,EDC,EDC
ZJ70,3.934867,103.367287,EDC,EDC
ZJ72,3.772097,103.230746,EDC,EDC
ZJ76,3.585039,102.781031,EDC,EDC
ZJ77,3.734593,103.30381,EDC,EDC
ZJ82,3.810401,103.30913,EDC,EDC
ZJ83,3.755482,103.202183,EDC,EDC
ZJ84,3.831057,103.328128,EDC,EDC
ZJ85,3.70596,102.371403,EDC,EDC
ZJ88,3.862998,103.251838,EDC,EDC
ZJ91,3.893155,103.35791,EDC,EDC
ZJ93,3.492566,103.414622,EDC,EDC
ZJ96,3.818583,103.276889,EDC,EDC
ZJ99,3.810754,103.322095,EDC,EDC
ZK34,2.429883,103.836965,EDC,EDC
ZKC2,2.439436,103.833187,EDC,EDC
ZKC6,2.273797,103.856961,EDC,EDC
B001,3.10257388284431,101.707877699951,HQ,HQ
B002,3.09000201619277,101.68745203077,HQ,HQ
B003,3.21529887494616,101.638306510228,HQ,HQ
B005,3.07460066529754,101.64908564889,HQ,HQ
B006,3.02249907018696,101.617865998492,HQ,HQ
B007,3.23692328155788,101.698143230155,HQ,HQ
B009,2.95385337924492,101.75707105915,HQ,HQ
B010,3.15766943133537,101.750759540204,HQ,HQ
B012,2.99159631608543,101.794186451069,HQ,HQ
B013,3.19122697607015,101.69145443815,HQ,HQ
B014,3.04383363356727,101.516741026477,HQ,HQ
B015,3.00085098541405,101.53354096212,HQ,HQ
B017,3.02872288410554,101.709595399419,HQ,HQ
B018,3.21821854185657,101.718866902935,HQ,HQ
B019,3.14471464177564,101.7109335437,HQ,HQ
B020,3.11743423023927,101.635103999995,HQ,HQ
B021,2.81114221497714,101.791730329243,HQ,HQ
B022,2.90277333754652,101.789593079384,HQ,HQ
B023,3.07629167476878,101.611865427219,HQ,HQ
B024,3.19933451629481,101.729401433294,HQ,HQ
B025,3.13953540835678,101.629376194005,HQ,HQ
B026,3.19299672826022,101.632789124522,HQ,HQ
B027,3.1144167689168,101.662844350804,HQ,HQ
B028,3.00450901879231,101.786237620959,HQ,HQ
B029,3.10928679740365,101.637198213675,HQ,HQ
B030,3.20451900474488,101.667491784808,HQ,HQ
B031,3.14212665072645,101.711334726701,HQ,HQ
B032,2.82357834878129,101.778898170227,HQ,HQ
B033,2.97964065716101,101.738599662708,HQ,HQ
B034,3.0283,101.71762,HQ,HQ
B035,3.0821931499213,101.582212930822,HQ,HQ
B037,3.15088625076748,101.59161588174,HQ,HQ
B038,3.67332394116766,100.989583708869,HQ,HQ
B039,3.14673956855842,101.713565585732,HQ,HQ
B041,2.93371753049676,101.765321350692,HQ,HQ
B042,3.4040728,101.5606215,HQ,HQ
B043,2.92596151009288,101.854157217858,HQ,HQ
B044,3.01428126746698,101.694249147249,HQ,HQ
B045,3.15942046377145,101.713441680029,HQ,HQ
B046,3.23644452951532,101.673372023774,HQ,HQ
B047,2.96290077241957,101.755277832673,HQ,HQ
