vehicle_id,plate_no,owning_dc,purpose,capacity_ton,cbm,length_m,width_m,height_m,vehicle_type,cbm_verified
VAN6473,VAN6473,HQ,INTER_WAREHOUSE,5 TAN,34.17777000000001,6.2700000000000005,2.3000000000000003,2.37,LORI RIGID -LUTON/KOTAK,True
VAN6483,VAN6483,HQ,INTER_WAREHOUSE,5 TAN,34.17777000000001,6.2700000000000005,2.3000000000000003,2.37,LORI RIGID -LUTON/KOTAK,True
VCF7812,VCF7812,HQ,STORE_DELIVERY,1 TAN,8.370040000000001,2.8000000000000003,1.79,1.67,LORI RIGID -LUTON/KOTAK,True
WC3056V,WC3056V,HQ,STORE_DELIVERY,1 TAN,8.762988,2.98,1.74,1.69,LORI RIGID -LUTON/KOTAK,True
VFA9915,VFA9915,HQ,STORE_DELIVERY,1 TAN,8.8605,3.0,1.79,1.6500000000000001,LORI RIGID -LUTON/KOTAK,True
VFB9913,VFB9913,HQ,STORE_DELIVERY,1 TAN,8.964000000000002,3.0,1.8,1.6600000000000001,LORI RIGID -LUTON/KOTAK,True
VFS9920,VFS9920,HQ,STORE_DELIVERY,1 TAN,8.964000000000002,3.0,1.8,1.6600000000000001,LORI RIGID -LUTON/KOTAK,True
VJS8805,VJS8805,HQ,STORE_DELIVERY,1 TAN,8.9739,3.0,1.77,1.69,LORI RIGID -LUTON/KOTAK,True
WB814D,WB814D,HQ,STORE_DELIVERY,1 TAN,9.001104,3.0100000000000002,1.78,1.68,LORI RIGID -LUTON/KOTAK,True
VFB9917,VFB9917,HQ,STORE_DELIVERY,1 TAN,9.018,3.0,1.8,1.67,LORI RIGID -LUTON/KOTAK,True
WB3370A,WB3370A,HQ,STORE_DELIVERY,1 TAN,9.0681,3.0,1.81,1.67,LORI RIGID -KARGO AM,True
VFB9916,VFB9916,HQ,STORE_DELIVERY,1 TAN,9.0681,3.0,1.81,1.67,LORI RIGID -LUTON/KOTAK,True
VJS8809,VJS8809,HQ,STORE_DELIVERY,1 TAN,9.10826,3.0100000000000002,1.78,1.7,LORI RIGID -LUTON/KOTAK,True
VFT9927,VFT9927,HQ,STORE_DELIVERY,1 TAN,9.126,3.0,1.8,1.69,LORI RIGID -LUTON/KOTAK,True
VFS9927,VFS9927,HQ,STORE_DELIVERY,1 TAN,9.126,3.0,1.8,1.69,LORI RIGID -LUTON/KOTAK,True
VDT9670,VDT9670,HQ,STORE_DELIVERY,1 TAN,9.18,3.0,1.8,1.7,LORI RIGID -LUTON/KOTAK,True
VDT9665,VDT9665,HQ,STORE_DELIVERY,1 TAN,9.18,3.0,1.8,1.7,LORI RIGID -LUTON/KOTAK,True
VCL9728,VCL9728,HQ,STORE_DELIVERY,1 TAN,9.18918,3.0,1.82,1.7,LORI RIGID -LUTON/KOTAK,True
VHV9895,VHV9895,HQ,STORE_DELIVERY,1 TAN,9.213000000000001,3.0,1.85,1.66,LORI RIGID -LUTON/KOTAK,True
VHS9902,VHS9902,HQ,STORE_DELIVERY,1 TAN,9.270170000000002,3.0500000000000003,1.82,1.67,LORI RIGID -LUTON/KOTAK,True
VDT9662,VDT9662,HQ,STORE_DELIVERY,1 TAN,9.29254,3.02,1.81,1.7,LORI RIGID -LUTON/KOTAK,True
VEG9681,VEG9681,HQ,STORE_DELIVERY,1 TAN,9.34992,3.02,1.8,1.72,LORI RIGID -LUTON/KOTAK,True
VEH9692,VEH9692,HQ,STORE_DELIVERY,1 TAN,9.34992,3.02,1.8,1.72,LORI RIGID -LUTON/KOTAK,True
VBV9718,VBV9718,HQ,STORE_DELIVERY,1 TAN,9.565446800000002,3.0380000000000003,1.82,1.73,LORI RIGID -LUTON/KOTAK,True
VBU8717,VBU8717,HQ,STORE_DELIVERY,1 TAN,9.70424,3.1,1.82,1.72,LORI RIGID -LUTON/KOTAK,True
VCL9727,VCL9727,HQ,STORE_DELIVERY,1 TAN,9.99285,3.0700000000000003,1.86,1.75,LORI RIGID -LUTON/KOTAK,True
VCF7811,VCF7811,HQ,STORE_DELIVERY,1 TAN,10.747160000000001,3.16,1.9000000000000001,1.79,LORI RIGID -LUTON/KOTAK,True
VAK8592,VAK8592,HQ,STORE_DELIVERY,5 TAN,11.24424,3.15,1.84,1.94,LORI RIGID -LUTON/KOTAK,True
WXE254,WXE254,HQ,STORE_DELIVERY,1 TAN,11.511372375,3.05,1.745,1.685,LORI RIGID -LUTON/KOTAK,False
VAR1134,VAR1134,HQ,STORE_DELIVERY,1 TAN,12.964224000000002,3.1,1.82,1.68,LORI RIGID -LUTON/KOTAK,False
WUL8950,WUL8950,HQ,STORE_DELIVERY,3 TAN,20.748156,4.29,2.14,2.2600000000000002,LORI RIGID -LUTON/KOTAK,True
VKL8835,VKL8835,HQ,STORE_DELIVERY,3 TAN,20.850500000000004,4.25,2.2,2.23,LORI RIGID -CURTANSIDER,True
VKK8825,VKK8825,HQ,STORE_DELIVERY,3 TAN,20.850500000000004,4.25,2.2,2.23,LORI RIGID -CURTANSIDER,True
VFG9926,VFG9926,HQ,STORE_DELIVERY,3 TAN,20.945256000000004,4.12,2.22,2.29,LORI RIGID -LUTON/KOTAK,True
VKF8830,VKF8830,HQ,STORE_DELIVERY,3 TAN,21.274440000000002,4.26,2.27,2.2,LORI RIGID -CURTANSIDER,True
VBX9711,VBX9711,HQ,STORE_DELIVERY,3 TAN,21.575249999999997,4.3,2.25,2.23,LORI RIGID -LUTON/KOTAK,True
VKF8825,VKF8825,HQ,STORE_DELIVERY,3 TAN,21.655800000000003,4.24,2.25,2.27,LORI RIGID -CURTANSIDER,True
VKL8829,VKL8829,HQ,STORE_DELIVERY,3 TAN,21.785500000000003,4.25,2.33,2.2,LORI RIGID -CURTANSIDER,True
VKF8826,VKF8826,HQ,STORE_DELIVERY,3 TAN,21.847872000000006,4.24,2.2800000000000002,2.2600000000000002,LORI RIGID -CURTANSIDER,True
VKL8816,VKL8816,HQ,STORE_DELIVERY,3 TAN,21.878100000000003,4.38,2.25,2.22,LORI RIGID -CURTANSIDER,True
VCM9735,VCM9735,HQ,STORE_DELIVERY,3 TAN,22.042944000000002,4.26,2.31,2.24,LORI RIGID -LUTON/KOTAK,True
VCM9736,VCM9736,HQ,STORE_DELIVERY,3 TAN,22.042944000000002,4.26,2.31,2.24,LORI RIGID -LUTON/KOTAK,True
VHW8801,VHW8801,HQ,STORE_DELIVERY,3 TAN,22.0864,4.25,2.32,2.24,LORI RIGID -LUTON/KOTAK,True
VFG9923,VFG9923,HQ,STORE_DELIVERY,3 TAN,22.44432000000001,4.28,2.2800000000000002,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VKK8820,VKK8820,HQ,STORE_DELIVERY,3 TAN,22.448580000000003,4.3,2.31,2.2600000000000002,LORI RIGID -CURTANSIDER,True
VFG9925,VFG9925,HQ,STORE_DELIVERY,3 TAN,22.54464,4.12,2.2800000000000002,2.4,LORI RIGID -LUTON/KOTAK,True
WC7324V,WC7324V,HQ,STORE_DELIVERY,5 TAN,22.712832000000002,5.58,2.12,1.92,LORI RIGID -LUTON/KOTAK,True
VBX9713,VBX9713,HQ,STORE_DELIVERY,3 TAN,22.770000000000003,4.5,2.2,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VFU9935,VFU9935,HQ,STORE_DELIVERY,3 TAN,22.883784000000002,4.2700000000000005,2.31,2.32,LORI RIGID -LUTON/KOTAK,True
VHY8802,VHY8802,HQ,STORE_DELIVERY,3 TAN,22.90656,4.28,2.4,2.23,LORI RIGID -LUTON/KOTAK,True
VEK9688,VEK9688,HQ,STORE_DELIVERY,3 TAN,22.928598,4.26,2.33,2.31,LORI RIGID -LUTON/KOTAK,True
VCH8726,VCH8726,HQ,STORE_DELIVERY,3 TAN,23.057551999999998,4.34,2.32,2.29,LORI RIGID -LUTON/KOTAK,True
VDU9667,VDU9667,HQ,STORE_DELIVERY,3 TAN,23.225519999999996,4.26,2.35,2.32,LORI RIGID -LUTON/KOTAK,True
VDU9660,VDU9660,HQ,STORE_DELIVERY,3 TAN,23.225519999999996,4.26,2.35,2.32,LORI RIGID -LUTON/KOTAK,True
VBX9712,VBX9712,HQ,STORE_DELIVERY,3 TAN,23.79375,4.5,2.25,2.35,LORI RIGID -LUTON/KOTAK,True
WD984F,WD984F,HQ,STORE_DELIVERY,5 TAN,23.809296000000003,5.88,2.12,1.9100000000000001,LORI RIGID -LUTON/KOTAK,True
WD997F,WD997F,HQ,STORE_DELIVERY,5 TAN,23.809296000000003,5.88,2.12,1.9100000000000001,LORI RIGID -LUTON/KOTAK,True
WC4856W,WC4856W,HQ,STORE_DELIVERY,5 TAN,23.974656,5.89,2.12,1.92,LORI RIGID -LUTON/KOTAK,True
VKH8837,VKH8837,HQ,STORE_DELIVERY,11 TAN,27.842049000000003,5.13,2.37,2.29,LORI RIGID -CURTANSIDER,True
VCJ9722,VCJ9722,HQ,STORE_DELIVERY,3 TAN,27.851859200000007,4.4,2.369,2.672,LORI RIGID -LUTON/KOTAK,True
VCL9729,VCL9729,HQ,STORE_DELIVERY,5 TAN,28.597720800000005,4.4,2.4090000000000003,2.698,LORI RIGID -LUTON/KOTAK,True
VCN9723,VCN9723,HQ,STORE_DELIVERY,5 TAN,28.717000000000002,5.2,2.35,2.35,LORI RIGID -LUTON/KOTAK,True
VHS9907,VHS9907,HQ,STORE_DELIVERY,11 TAN,29.660800000000005,5.2,2.48,2.3000000000000003,LORI RIGID -CUTANSIDER,True
VCH8729,VCH8729,HQ,STORE_DELIVERY,5 TAN,30.858520000000006,6.0200000000000005,2.33,2.2,LORI RIGID -LUTON/KOTAK,True
VAS8619,VAS8619,HQ,STORE_DELIVERY,5 TAN,31.648000000000003,6.4,2.3000000000000003,2.15,LORI RIGID -LUTON/KOTAK,True
VEK9689,VEK9689,HQ,STORE_DELIVERY,11 TAN,31.740000000000006,6.0,2.3000000000000003,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VKA8827,VKA8827,HQ,STORE_DELIVERY,11 TAN,31.774500000000007,6.140000000000001,2.3000000000000003,2.25,LORI RIGID -CUTANSIDER,True
VBW9717,VBW9717,HQ,STORE_DELIVERY,5 TAN,31.826250000000005,6.15,2.25,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VBW9719,VBW9719,HQ,STORE_DELIVERY,5 TAN,31.826250000000005,6.15,2.25,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VCN9738,VCN9738,HQ,STORE_DELIVERY,5 TAN,31.983972,6.18,2.29,2.2600000000000002,LORI RIGID -LUTON/KOTAK,True
VKE8862,VKE8862,HQ,STORE_DELIVERY,11 TAN,32.09193,6.15,2.34,2.23,LORI RIGID -CUTANSIDER,True
VGU9905,VGU9905,HQ,STORE_DELIVERY,11 TAN,32.148480000000006,6.24,2.3000000000000003,2.24,LORI RIGID -CUTANSIDER,True
VBU8715,VBU8715,HQ,STORE_DELIVERY,5 TAN,32.43000000000001,6.0,2.35,2.3000000000000003,LORI RIGID -LUTON/KOTAK,True
VCN9739,VCN9739,HQ,STORE_DELIVERY,5 TAN,32.79242000000001,6.2,2.33,2.27,LORI RIGID -LUTON/KOTAK,True
